County,Month,Calendar Year,CalFresh Persons,CalFresh Households,Child Only Persons,Total Issuances,Caseload Total Student Count,All Federal Persons,All CFAP Persons,Total SSI Persons in SNB Households,Total SSI  Persons in TNB Households,State Issuances,EBT_SNB_dollars,EBT_TNB_dollars,Unemployment Monthly,Active Error Rate,Negative Error Rate,Negative Error Rate on Completed Cases,Applications Approved Containing at Least One Student,Applications Denied Containing at Least One Student,Applications Pended Containing at Least One Student,New Apps with at Least Some SSI - Approved,New Apps with at Least Some SSI - Denied,Ineligible Denials - SSI,Procedural Denials - SSI,SSI Only - Ineligible Denials,SSI Only Procedural Denials,Online Apps - SSI,Non-Online Apps - SSI,Applications Received,Online Applications Received,All_GCF_apps_submit,CfA_GCF_apps_submit,CBO_GCF_apps_submit,SSA_GCF_apps_submit,Average Age of SSI Persons Newly Applying,Average Days to Dispose - SSI,Average Approved Benefit - SSI,Denial reason - CF Missed Interview,Denial Reason - FTP Income,Denial Reason - Failed to Complete Determination,Denial Reason - Ineligible,Denial Reason - Ineligible CF Student,Denial Reason - Unavailable,Denial Reason - Out of the Home,Denial Reason - Over Income,Denial Reason - Procedural,Applications Submitted via BenefitsCal,Applications Submitted via Code for America,Applications Submitted via Other Online Source,Applications Submitted via Other Source,New Applications Age  17 and Under,New Applications Age 8 to 49,New Applications Age 50 and Over,New Applications Age Total,New Applications Avg Age,New Applications - ICT Transfers,New Applications Language Armenian,New Applications Language Cambodian,New Applications Language Cantonese,New Applications Language English,New Applications Langugage Farsi,New Applications Language Korean,New Applications Language Mandarin,New Applications Language  Other,New Applications Language Russian,New Applications Language Spanish,New Applications Language Vietnamese,New Applications Language Missing,New Applications Language Total,New Applications Hispanic,New Applications White,New Application Asian,New Applications Black or African_American,New Applications More Than One Race/Ethnicity,New Applications American Indian Alaskan Native,"New Applications Native Hawaiian Pacific Islander ",New Applications Other Race/Ethnicity,New Applications Unknown Race/Ethnicity,New Applications Race/Ethnicity Total,New Applications Gender Female,New Applications Gender Male,New Applications Gender Other,New Applications Gender Declined_to_State,New Applications Gender Total,New Applications Exemptions- Employment and Training Program,New Applications Exemptions-Other Employment and Training Program,New Applications Exemptions-LPIE,New Applications Exemptions- Employed 20 Hours Week,New Applications Exemptions-Care of a Child,New Applications Exemptions- Work Study,SSI Disposed HH Language - Armenian,SSI Disposed HH Language - Cambodian,SSI Disposed HH Language - Cantonese,SSI Disposed HH Language - English,SSI Disposed HH Language - Farsi,SSI Disposed HH Language - Korean,SSI Disposed HH Language - Mandarin,SSI Disposed HH Language - Other,SSI Disposed HH Language - Russian,SSI Disposed HH Language - Spanish,SSI Disposed HH Language - Vietnamese," SSI Person Race/Ethnicity - Hispanic"," SSI Person Race/Ethnicity - White"," SSI Person Race/Ethnicity - Asian"," SSI Person Race/Ethnicity - Black or African American"," SSI Person Race/Ethnicity - More Than One Race/Ethnicity"," SSI Person Race/Ethnicity - American Indian or Alaska Native"," SSI Person Race/Ethnicity - Native Hawaiian or Other Pacific Islander"," SSI Person Race/Ethnicity - Other"," SSI Person Race/Ethnicity - Unknown",SSI Persons in New Apps Disposed,SSI-only HHs of 1 added in the month,SSI-only HHs of 2 added in the month,SSI only-HHs of 3+ added in the month,Total SSI-only HHs added in the month,Claim Shelter Deduction - SSI,Claim Standard Medical Deduction - SSI,"Claim Homeless Deduction - SSI "
Glenn,January,2014,"3,606","1,472",455,,,,,,,,,,12.90%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,January,2014,"17,196","9,266","1,252",,,,,,,,,,7.60%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,January,2014,"38,782","15,263","2,149",,,,,,,,,,21.70%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,January,2014,"2,152","1,052",231,,,,,,,,,,7.80%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,January,2014,"147,170","60,740","23,974",,,,,,,,,,12.00%,3.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,January,2014,"23,815","10,051","3,059",,,,,,,,,,14.50%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,January,2014,"10,622","5,262",718,,,,,,,,,,10.60%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,January,2014,"3,149","1,488",142,,,,,,,,,,11.30%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,January,2014,"1,177,757","573,325","239,673",,,,,,,,,,9.10%,2.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,January,2014,"28,263","11,221","6,602",,,,,,,,,,12.50%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,January,2014,"9,998","5,920","2,297",,,,,,,,,,4.70%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,January,2014,"2,034","1,017",65,,,,,,,,,,13.20%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,January,2014,"13,415","7,144","1,374",,,,,,,,,,8.30%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,January,2014,"55,842","23,364","9,197",,,,,,,,,,15.50%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,January,2014,963,437,68,,,,,,,,,,13.80%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,January,2014,823,522,162,,,,,,,,,,7.40%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,January,2014,"51,281","22,399","17,061",,,,,,,,,,13.40%,6.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,January,2014,"7,164","3,420","1,829",,,,,,,,,,7.00%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,January,2014,"7,593","4,004",344,,,,,,,,,,7.40%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,January,2014,"245,759","113,508","65,248",,,,,,,,,,6.00%,3.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,January,2014,"18,465","9,024","1,449",,,,,,,,,,7.00%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,January,2014,"1,844",909,*,,,,,,,,,,16.20%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,January,2014,"287,272","121,060","37,526",,,,,,,,,,8.90%,2.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,January,2014,"213,072","97,098","20,133",,,,,,,,,,8.20%,0.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,January,2014,"6,378","2,757","1,048",,,,,,,,,,11.30%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,January,2014,"382,585","166,127","45,436",,,,,,,,,,8.90%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,January,2014,"272,951","128,475","34,401",,,,,,,,,,7.20%,4.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,January,2014,"50,484","32,282","6,859",,,,,,,,,,4.90%,5.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,January,2014,"114,754","48,102","15,192",,,,,,,,,,12.30%,5.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,January,2014,"17,988","9,399","2,413",,,,,,,,,,6.10%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,January,2014,"32,181","15,819","7,977",,,,,,,,,,4.70%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,January,2014,"34,841","15,581","10,830",,,,,,,,,,7.50%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,January,2014,"112,246","53,489","23,020",,,,,,,,,,5.70%,3.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,January,2014,"23,647","12,054","5,372",,,,,,,,,,11.60%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,January,2014,"23,916","11,995","1,066",,,,,,,,,,11.40%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,January,2014,299,166,*,,,,,,,,,,12.90%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,January,2014,"6,927","3,140",266,,,,,,,,,,14.90%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,January,2014,"42,499","21,494","4,961",,,,,,,,,,8.60%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,January,2014,"34,735","18,820","7,065",,,,,,,,,,6.40%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,January,2014,"92,065","42,193","11,747",,,,,,,,,,12.90%,2.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,January,2014,"12,740","5,424","1,476",,,,,,,,,,15.10%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,January,2014,"10,409","4,645",903,,,,,,,,,,11.10%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,January,2014,"1,609",850,62,,,,,,,,,,12.40%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,January,2014,"120,087","49,187","19,421",,,,,,,,,,15.30%,2.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,January,2014,"5,409","2,943",202,,,,,,,,,,10.40%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,January,2014,"69,753","33,751","15,356",,,,,,,,,,7.40%,2.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,January,2014,"17,981","8,490","1,896",,,,,,,,,,9.10%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,January,2014,"13,040","5,883","1,044",,,,,,,,,,13.10%,9.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statewide,February,2014,"4,354,213","2,013,634","715,826","$623,196,668",,"4,311,206","43,007",,,"$5,316,317",,,8.40%,4.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,February,2014,"126,898","63,674","18,843",,,,,,,,,,6.40%,2.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,February,2014,175,111,0,,,,,,,,,,8.50%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,February,2014,"3,406","1,742",106,,,,,,,,,,9.90%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,February,2014,"30,431","14,994","1,641",,,,,,,,,,10.00%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,February,2014,"4,961","2,617",178,,,,,,,,,,9.50%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,February,2014,"1,787",737,392,,,,,,,,,,24.00%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,February,2014,"71,316","34,460","11,198",,,,,,,,,,6.90%,4.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,February,2014,"5,197","2,531",251,,,,,,,,,,11.70%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,February,2014,"12,021","6,567",795,,,,,,,,,,8.00%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,February,2014,"228,624","95,501","31,851",,,,,,,,,,13.60%,2.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,February,2014,"3,653","1,478",465,,,,,,,,,,12.70%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,February,2014,"17,428","9,405","1,232",,,,,,,,,,7.80%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,February,2014,"38,530","15,152","2,135",,,,,,,,,,20.60%,8.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
